Nimi;aliases;Isä;attribute:CO2 (kgCO2e);attribute:CO2 (kgCO2e/kg);attribute:CO2 (kgCO2/kWh);attribute:CO2 (gCO2e/l);note;Lähde;
Buffalo;;;;60,43;;;Buffalo, median;https://core.ac.uk/download/pdf/76958641.pdf;
Lampaanpaisti;;;;39,2;;;Lammas, paistettu;http://static.ewg.org/reports/2011/meateaters/pdf/methodology_ewg_meat_eaters_guide_to_health_and_climate_2011.pdf;
Hummeri;;;;27,8;;;Lobster, median;https://core.ac.uk/download/pdf/76958641.pdf;
Naudanpaisti;;;;26,61;;;Beef: world average, median;https://core.ac.uk/download/pdf/76958641.pdf;
Lampaanpaisti;;;;25,58;;;Lamb: world average, median;https://core.ac.uk/download/pdf/76958641.pdf;
Naudanliha, rasvainen, keskiarvo;;;;15;;;Naudanliha, raaka;Katajajuuri 2009, Angervall et. al. 2007, Carlsson-Kanyama 1998;
Juusto;;;;13;;;Juusto;Nissinen et. al. 2007;
Kirjolohi, kokonainen, keskiarvo;;;;11,9;;;Kirjolohi, kasvatettu;http://static.ewg.org/reports/2011/meateaters/pdf/methodology_ewg_meat_eaters_guide_to_health_and_climate_2011.pdf;
Kalkkuna nahkoineen;;;;10,9;;;Kalkkuna;http://static.ewg.org/reports/2011/meateaters/pdf/methodology_ewg_meat_eaters_guide_to_health_and_climate_2011.pdf;
Sinisimpukka, vedessä, säilyke;;;;9,51;;;Mussels, median;https://core.ac.uk/download/pdf/76958641.pdf;
Voi;;;;9,25;;;Butter, median;https://core.ac.uk/download/pdf/76958641.pdf;
Juusto, tuotekeskiarvo;;;;8,55;;;Cheese, median;https://core.ac.uk/download/pdf/76958641.pdf;
Rombi;;;;8,41;;;Rhombus, median;https://core.ac.uk/download/pdf/76958641.pdf;
Katkarapu;;;;7,8;;;Prawns/shrimp, median;https://core.ac.uk/download/pdf/76958641.pdf;
Kalkkuna nahkoineen;;;;7,17;;;Turkey, median;https://core.ac.uk/download/pdf/76958641.pdf;
Mustekala;;;;7,13;;;Octopus/squid/cuttlefish, median;https://core.ac.uk/download/pdf/76958641.pdf;
Pomfretti;;;;6,63;;;Pomfret, median;https://core.ac.uk/download/pdf/76958641.pdf;
Molva;;;;6,45;;;Ling common, median;https://core.ac.uk/download/pdf/76958641.pdf;
Tonnikala, paistettu;;;;6,1;;;Tonnikala;http://static.ewg.org/reports/2011/meateaters/pdf/methodology_ewg_meat_eaters_guide_to_health_and_climate_2011.pdf;
Sianruho, keskirasvainen;;;;5,77;;;Pork: world average, median;https://core.ac.uk/download/pdf/76958641.pdf;
Leikkelemakkara, balkanmakkara/kinkkumakkara, rasvaa 16 %;;;;5,77;;;Ham;https://core.ac.uk/download/pdf/76958641.pdf;
Ruoanvalmistuskerma, rasvaa 15 %;;;;5,64;;;Cream, median;https://core.ac.uk/download/pdf/76958641.pdf;
Broileri, kokonainen, nahkoineen, raaka;;;;5;;;Broileri, raaka;Katajajuuri 2009, Angervall et. al. 2007, Carlsson-Kanyama 1998;
Täysjyväriisi;;;;5;;;Riisi, raaka;Katajajuuri 2009, Angervall et. al. 2007, Carlsson-Kanyama 1998;
Sianliha, keskiarvo;;;;5;;;Sianliha, raaka;Katajajuuri 2009, Angervall et. al. 2007, Carlsson-Kanyama 1998;
Kurkku;;;;5;;;Tomaatti, kurkku (kasvihuone talvella);Katajajuuri 2009, Angervall et. al. 2007, Carlsson-Kanyama 1998;
Tomaatti;;;;5;;;Tomaatti, kurkku (kasvihuone talvella);Katajajuuri 2009, Angervall et. al. 2007, Carlsson-Kanyama 1998;
Maapähkinäöjy;;;;4,717;;;Including iLUC;http://lcafood2014.org/papers/165.pdf;
Kani;;;;4,7;;;Rabbit, median;https://core.ac.uk/download/pdf/76958641.pdf;
Taimen;;;;4,2;;;Trout, median;https://core.ac.uk/download/pdf/76958641.pdf;
Kenguru;;;;4,1;;;Kangaroo, median;https://core.ac.uk/download/pdf/76958641.pdf;
Ankerias;;;;3,88;;;Eel, median;https://core.ac.uk/download/pdf/76958641.pdf;
Salaatti, lämmitetty kasvihuone;;;;3,7;;;Lettuce: heated greenhouse, median;https://core.ac.uk/download/pdf/76958641.pdf;
Kana;;;;3,65;;;Chicken, median;https://core.ac.uk/download/pdf/76958641.pdf;
Buffalonmaito;;;;3,57;;;Buffalo milk, median;https://core.ac.uk/download/pdf/76958641.pdf;
Turska;;;;3,51;;;Cod, median;https://core.ac.uk/download/pdf/76958641.pdf;
Kala, painotettu keskiarvo;;;;3,49;;;Fish: all species, median;https://core.ac.uk/download/pdf/76958641.pdf;
Lohi tai kirjolohi, keitetty, suolaton;;;;3,47;;;Salmon, median;https://core.ac.uk/download/pdf/76958641.pdf;
Kananmuna, kuorineen punnittu;;;;3,46;;;Eggs, median;https://core.ac.uk/download/pdf/76958641.pdf;
Kolja;;;;3,41;;;Haddock, median;https://core.ac.uk/download/pdf/76958641.pdf;
Meriahven;;;;3,27;;;Sea bass, median;https://core.ac.uk/download/pdf/76958641.pdf;
Ankka;;;;3,09;;;Duck, median;https://core.ac.uk/download/pdf/76958641.pdf;
Tonnikala;;;;2,95;;;Tuna;https://core.ac.uk/download/pdf/76958641.pdf;
