"name[""en-US""]","name[""fi-FI""]",aliases,parent,attribute:CO₂e (kgCO₂e),attribute:CO₂e (kgCO₂e/kg),attribute:CO₂e (kgCO₂e/kWh),attribute:CO₂e (kgCO₂e/km),attribute:CO₂e (kgCO₂e/l),attribute:CO₂e (kgCO₂e/EUR),note,sourceId
Almond,Manteli,,,,1.54,,,,,"Almonds, median",1
"Almond Drink, Unsweetened, Alrpo","Mantelijuoma, makeuttamaton, alpro","[""Mantelijuoma""]",,,,,,0.42,,"Almond/coconut milk, median",1
Animal feed,,,Supplies,,,,,,3.36,Products for domestic animals,2
"Apple, Domestic, With Skin","Omena, kotimainen, kuorineen","[""Omena""]",,,0.29,,,,,"Apples, median",1
Appliances,Kodinkoneet,,Supplies,,,,,,0.51,Kodinkoneet ja työkalut,2
"Apricot, Average, With Stone","Aprikoosi, keskiarvo, punnittu kivineen","[""Aprikoosi""]",,,0.43,,,,,"Apricot, median",1
Artichoke,Latva-artisokka,,,,0.48,,,,,"Artichokes, median",1
"Asparagus, Raw, Cleaned","Parsa, raaka, puhdistettu",,,,0.83,,,,,"Asparagus, median",1
Aubergine,Munakoiso,,,,1.35,,,,,"Eggplants (aubergines), median",1
Avocado  with skin and stone,,"[""Avokadopussi""]",,,1.3,,,,,"Avocados, median",1
"Avocado Sauce, Guacamole, Industrial",,,,,,,,,0.7,Plant based groceries,2
B20 biodiesel,B20 biodiesel,,Fuel,,,,,2.14,,,3
B20 biodiesel,,,,,,,,2.62,,,16
Baby toy,Vauvanlelu,"[""Vauvan- Ja Kehityslelut""]",Children's supplies,,,,,,,,
Baking paper,Leivinpaperi,,Supplies,,,,,,0.72,"Paper, carton and cardboard products",2
"Baking Yeast, Fresh",,,,,,,,,0.7,Plant based groceries,2
"Banana, With Skin",,"[""Banaani""]",,,0.72,,,,,"Musa, bananas, median",1
Barber,Parturi,,Recreational services,,,,,,,,
"Barley, Rolled, Barley Flakes",,,,,0.43,,,,,"Barley, median",1
Bay leaf,Laakerinlehti,,Spices,,,,,,,,
"Bean, Green Bean, String Bean","Papu, vihreä taitepapu, tuore",,,,0.75,,,,,"Beans: french and runner, median",1
"Bean, Green Bean, String Bean","Papu, vihreä taitepapu, tuore",,,,0.31,,,,,"Beans: green, median",1
Beef,Nauta,,,,26.61,,,,,"Beef: world average, median",1
Beef,Nauta,,,,15,,,,,"Beef, raw",4
"Beef, Cured, 2.8% Fat",,"[""Paahtopaisti""]",,,15,,,,,"Beef, raw",4
"Beer, Alcohol-Free, 0.0% Volume",,"[""Pils alkoholiton""]",,,,,,0.54,,"Beer, cradle-to-grave",5
"Beer, Lager, Medium Strength, 4.5% Volume",,"[""Lager"", ""Pils""]",,,,,,,,,
Beers,,,,,,,,0.54,,"Beer, cradle-to-grave",5
"Beetroot, Red Beet",Punajuuri,,,,0.24,,,,,"Beetroot, median",1
Berries,,,,,,,,,0.7,Plant based groceries,2
Blackcurrant,Mustaherukka,,,,0.84,,,,,"Currants and gooseberries, median",1
Blended spread >= 55 %,,,,,9.25,,,,,"Butter, median",1
Blueberry,"Mustikka, pensasmustikka",,,,0.92,,,,,"Cranberries/blueberries, median",1
"Blueberry, Bilberry",,"[""Kotimainen pakastemustikka""]",,,,,,,0.7,Plant based groceries,2
Body lotion,Vartalovoide,,Skincare products,,,,,,,,
"Bread, mixed flour",,,,,1.55,,,,,"Bread, cradle-to-grave, 0.6-2.5 kg",6
"Bread, mixed flour",,,,,,,,,0.7,Plant based groceries,2
Breakfast cereals,,,,,,,,,0.7,Plant based groceries,2
Broccoli,,"[""Parsakaali""]",,,0.6,,,,,"Broccoli, median",1
Buffalo,Biisoni,,Beef,,60.43,,,,,"Buffalo, median",1
Buffalo milk,Biisonin maito,,Milks >2% fat,,3.57,,,,,"Buffalo milk, median",1
Buns,,,,,2.5,,,,,"Pastry, including waste, secondary source",7
"Bus, city","Linja-auto, kaupunkiliikenne",,Travel,63,,,,,,"Linja-auto, kaupunkiliikenne",8
"Bus, long-distance","Linja-auto, pitkänmatkanliikenne",,Travel,54,,,,,,"Linja-auto, pitkänmatkanliikenne",8
Butter,Voi,,,,9.25,,,,,"Butter, median",1
Café,Kahvila,,Services,,,,,,0.49,Ravintolapalvelut,2
Canned fruits,,,,,,,,,0.7,Plant based groceries,2
Canned vegetables,,,,,,,,,0.7,Plant based groceries,2
Car wash,Autopesu,"[""Pesut"", ""Peruspesu""]",Travel,,,,,,,,
Cardboard box,Pahvilaatikko,,Supplies,,,,,,0.72,"Paper, carton and cardboard products",2
Carp,Karppi,,Fish,,1.76,,,,,"Carp, median",1
Carpets,Matot,,Interior design,,,,,,0.42,"Huonekalut, matot",2
Carrot,Porkkana,,,,0.2,,,,,"Carrots, median",1
Cashew Cranberry Mix,,,Snacks,,,,,,,,
Cauliflower,Kukkakaali,,,,0.36,,,,,"Cauliflowers and broccoli, median",1
Celery,,,,,0.18,,,,,"Celery, median",1
Ceramics,Keramiikka,,Supplies,,,,,,0.65,Ceramic products for other than construction purposes,2
Cereals,,,,,,,,,0.7,Plant based groceries,2
"Champignon, Fresh",Herkkusieni,,,,0.27,,,,,"Mushrooms, median",1
"Cheese, Emmental, 27-30% Fat, Red-Label",,"[""Maasdam""]",,,,,,,,,
"Cheese, Gouda, Average, 28-30% Fat",,"[""Gouda"", ""Vanha gouda""]",,,,,,,,,
"Cheese, ripened cheese <= 17 %",,,,,8.55,,,,,"Cheese, median",1
"Cheese, ripened cheese <= 17 %",,,,,10,,,,,Juusto,9
"Cheese, ripened cheese > 17 %",,,,,8.55,,,,,"Cheese, median",1
"Cheese, ripened cheese > 17 %",,,,,10,,,,,Juusto,9
"Cheese, unripened, fresh cheese <=15 %",,,,,8.55,,,,,"Cheese, median",1
"Cheese, unripened, fresh cheese <=15 %",,,,,10,,,,,Juusto,9
"Cheese, unripened, fresh cheese >15 %",,,,,8.55,,,,,"Cheese, median",1
"Cheese, unripened, fresh cheese >15 %",,,,,10,,,,,Juusto,9
Cherry With Stone,"Kirsikka, punnittu kivineen",,,,0.39,,,,,"Cherries, median",1
Cherry Without Stone,,,,,0.39,,,,,"Cherries, median",1
Chestnut,Kastanja,,,,0.43,,,,,"Chestnuts, median",1
Chewing gum,Purukumi,,Supplies,,2.6,,,,,"Including waste, secondary source",7
Chick Pea In Unsalted Water,Kikherne suolattomassa vedessä,,,,0.77,,,,,"Chick peas, median",1
"Chick Pea, Dried","Kikherne, kuivattu",,,,0.77,,,,,"Chick peas, median",1
Chicken,Kana,,,,5,,,,,"Broileri, raaka",4
Chicken,Kana,,,,3.65,,,,,"Chicken, median",1
Chicken,Kana,,,,2.12,,,,,"Chicken, whole",1
Chicken Breast With Skin,"Broileri, rintaleike, nahkoineen",,,,2.77,,,,,Chicken breast,1
