THSCODE;DESCRIPT;LANG
FRUDITOT;Hedelmä- ja marjaruoat;FI
FRUFRESH;Hedelmät, tuoreet;FI
FRUBSAL;Hedelmä- ja marjasalaatit;FI
BERFRESH;Marjat;FI
FRUBSOUP;Marjakiisselit, -keitot;FI
FRUBPAST;Marjapaistokset;FI
FRUBJUIC;Täysmehut;FI
JAM;Hillot, marmeladit;FI
VEGDITOT;Kasvikset, kasvisruoat;FI
VEGFRESH;Kasvikset, tuoreet;FI
VEGPOT;Kypsennetyt kasvikset;FI
VEGDISH;Kasvispääruoat;FI
VEGCASS;Kasvislaatikot;FI
VEGSOUP;Kasviskeitot;FI
MUSHRDI;Sieniruoat;FI
VEGCANN;Kasvissäilykkeet;FI
VEGJUICE;Kasvismehut;FI
SALADTOT;Salaatit;FI
SALADVEG;Kasvissalaatit;FI
SALADMIX;Yhdistelmäsalaatit;FI
POTATOT;Perunat;FI
POTACOOK;Perunat, keitetyt;FI
POTADISH;Perunaruoat;FI
POTAFAT;Paistetut perunat, kermaperunat;FI
CEBAKTOT;Vilja ja leivontatuotteet;FI
BRMIX;Leipä, seka- tai jyväleipä;FI
BRWHITE;Leipä, vehnä-;FI
BRRYE;Leipä, ruis-;FI
BUN;Kahvileipä;FI
BAKSWEET;Leivonnainen makea;FI
BISCUIT;Keksit, pikkuleivät;FI
BAKSALT;Leivonnainen suolainen;FI
SANDWICH;Voileivät ja hampurilaiset;FI
RICEADD;Riisilisäke;FI
PASTAADD;Pastaruoat;FI
PORR;Puuro;FI
CERBRKF;Aamiaisviljavalmisteet;FI
CERPR;Paistokset yms. sekalaiset;FI
PIZZA;Pizza;FI
MILKDTOT;Maidot ja maitoruoat;FI
MILKFF;Maitojuoma rasvaton;FI
MILKLF;Maitojuomat <2%;FI
MILKHF;Maitojuomat >2%;FI
SMILK;Piimä;FI
YOGHURT;Jogurtit;FI
MILKCURL;Viili;FI
CHEESHAR;Juustot, kovat;FI
CHEESOFT;Juustot, sulate- ja tuore-;FI
VEGCHEES;Juusto, kasvirasva-;FI
ICECREAM;Jäätelö;FI
MILKPUDD;Maitojälkiruoat;FI
MILKSAUC;Maitokastikkeet;FI
FATTOT;Rasva ja rasvavalmisteet;FI
BRFBUTT;Leipärasva voi tai maitorasvalevite >60 %;FI
BRFMARG;Leipärasva margariini tai rasvalevite >55 %;FI
BRFLOWF;Leipärasva margariini, rasvalevite ja  rasvaseos <55%;FI
DRESSING;Salaatinkastikkeet ja öljyt;FI
FATPROD;Muut rasvat;FI
FATSAUCE;Rasvakastikkeet;FI
EGGDISH;Kananmunat;FI
EGGS;Kananmuna;FI
EGGMIX;Kananmunaruoat;FI
FISHDTOT;Kalaruoat;FI
FISH;Kalat;FI
FISHCASS;Kalalaatikot;FI
FISHSOUP;Kalakeitot;FI
FISHDOTH;Muut kalaruoat;FI
FISHPROD;Kalavalmiste;FI
MEATDTOT;Liharuoat;FI
MSTEAK;Pihvit, kyljykset;FI
MINCMED;Jauheliharuoat;FI
MEATPOT;Lihapadat;FI
MEATCASS;Lihalaatikot;FI
MEATSOUP;Lihakeitot;FI
POULTDI;Kanaruoat;FI
SAUSAGE;Liha- ja makkaraleikkeleet;FI
SAUSDISH;Makkararuoat;FI
OFFALDI;Sisäelinruoat;FI
BEVTOT;Juomat;FI
COFFEE;Kahvi;FI
TEA;Tee;FI
DRWATER;Vedet;FI
DRJUICE;Mehujuomat;FI
DRINKSO;Virvoitusjuomat, sokeroidut;FI
DRINKCO;Kofeiinipitoiset virvoitusjuomat;FI
DRINKART;Keinotekoisesti makeutetut juomat;FI
DRSPORT;Urheilujuomat;FI
ALCTOT;Alkoholijuomat;FI
BEER;Oluet;FI
WINE;Viinit;FI
SPIRIT;Väkevät viinat;FI
ALCOTH;Alkoholijuomat, muut;FI
SUGARTOT;Sokeri, makeiset;FI
SUGADD;Sokerit, siirapit;FI
SWEET;Makeiset;FI
CHOCOL;Suklaa;FI
MISCTOT;Sekalaiset;FI
SPICES;Mausteet;FI
SNACK;Naposteltavat;FI
SPISAUCE;Maustekastikkeet;FI
INGRMISC;Sekalaiset ruoka-aineet;FI
BABYFTOT;Lastenruoat;FI
BABMEATD;Baby lasten liharuokavalmiste;FI
BABFISHD;Baby lasten kalaruokavalmiste;FI
BABMILPO;Baby lasten maitopuuro;FI
BABWATPO;Baby lasten puuro veteen;FI
BABFRUB;Baby hedelmä- ja marjavalmiste;FI
BABVEGE;Baby lasten kasvisvalmiste;FI
BABMIFRU;Baby lasten hedelmämaitovalmiste;FI
BABOTHER;Lastenruoat tarkentamattomat;FI
MMILK;Äidinmaito ja äidinmaitokorvikkeet;FI
INFMILK;Tavanomaiset äidinmaidonkorvikkeet ja äidinmaito;FI
CASMILK;Kaseiinihydrolysaatit, äidinmaidonkorvikkeet;FI
PREMILK;Keskosten äidinmaidonkorvikkeet;FI
SOYMILK;Soijapohjaiset äidinmaidonkorvikkeet;FI
WHEYMILK;Heraproteiinihydrolysaatit, äidinmaidonkorvikkeet;FI
AMINMILK;Aminohappovalmisteet, äidinmaidonkorvikkeet;FI
SPECTOT;Ravintovalmisteet;FI
SPECSUPP;Ravintoainevalmisteet;FI
MEALREP;Ateriankorvikkeet;FI
SPECFOOD;Kliiniset ravintovalmisteet;FI
