"id","code","name","parentId"
1,"GHG","{""en-US"": ""GHG"", ""fi-FI"": ""KHK"", ""sv-SE"": ""VHG""}",NULL
2,"LAND","{""en-US"": ""Land use"", ""fi-FI"": ""Maankäyttö"", ""sv-SE"": ""Markanvändning""}",NULL
3,"EUTRO","{""en-US"": ""Eutrophication"", ""fi-FI"": ""Rehevöityminen"", ""sv-SE"": ""Övergödning""}",NULL
4,"FRESHW","{""en-US"": ""Freshwater footprint"", ""fi-FI"": ""Makean veden jalanjälki"", ""sv-SE"": ""Sötvattenfotavtryck""}",NULL
5,"FOODUNITS","{""en-US"": ""Food units"", ""fi-FI"": ""Elintarvikkeiden yksiköt"", ""sv-SE"": ""Livsmedelsenheter""}",NULL
6,"MACROCMP","{""en-US"": ""Macro-components"", ""fi-FI"": ""Perusravintoaineet"", ""sv-SE"": ""Makrokomponenter""}",NULL
7,"ENERGY","{""en-US"": ""Energy"", ""fi-FI"": ""Energia"", ""sv-SE"": ""Energi""}",6
8,"ENERC","{""en-US"": ""Energy,calculated"", ""fi-FI"": ""Energia, laskennallinen"", ""sv-SE"": ""Energi, beräknad""}",7
9,"TOTALFAT","{""en-US"": ""Fat, total"", ""fi-FI"": ""Rasva"", ""sv-SE"": ""Fett, totalt""}",6
10,"FAT","{""en-US"": ""Fat, total"", ""fi-FI"": ""Rasva"", ""sv-SE"": ""Fett, totalt""}",9
11,"TOTALCAR","{""en-US"": ""Carbohydrates, total"", ""fi-FI"": ""Kokonaishiilihydraatti"", ""sv-SE"": ""Kolhydrater, totalt""}",6
12,"CHOAVL","{""en-US"": ""Carbohydrate, available"", ""fi-FI"": ""Hiilihydraatti imeytyvä"", ""sv-SE"": ""Kolhydrater, digererbara""}",11
13,"CHOCDF","{""en-US"": ""Carbohydrate, difference"", ""fi-FI"": ""Hiilihydraatti erotuksena"", ""sv-SE"": ""Kolhydrater, differensmetod""}",11
14,"PROTEIN","{""en-US"": ""Protein"", ""fi-FI"": ""Proteiini"", ""sv-SE"": ""Protein""}",6
15,"PROT","{""en-US"": ""Protein, total"", ""fi-FI"": ""Proteiini"", ""sv-SE"": ""Protein, totalt""}",14
16,"ALCOHOL","{""en-US"": ""Alcohol"", ""fi-FI"": ""Alkoholi"", ""sv-SE"": ""Alkohol""}",6
17,"ALC","{""en-US"": ""Alcohol"", ""fi-FI"": ""Alkoholi"", ""sv-SE"": ""Alkohol""}",16
18,"ASH","{""en-US"": ""Ash"", ""fi-FI"": ""Tuhka"", ""sv-SE"": ""Aska""}",6
19,"ASH","{""en-US"": ""Ash (minerals)"", ""fi-FI"": ""Tuhka (kivennäisaineet)"", ""sv-SE"": ""Aska (mineralämnen)""}",18
20,"WATER","{""en-US"": ""Water"", ""fi-FI"": ""Vesi"", ""sv-SE"": ""Vatten""}",6
21,"WATER","{""en-US"": ""Water (moisture)"", ""fi-FI"": ""Vesi (kosteus)"", ""sv-SE"": ""Vatten (fuktighet)""}",20
22,"CARBOCMP","{""en-US"": ""Carbohydrate components"", ""fi-FI"": ""Hiilihydraattifraktiot"", ""sv-SE"": ""Kolhydrater, komponenter""}",NULL
23,"ORGACID","{""en-US"": ""Organic acids"", ""fi-FI"": ""Orgaaniset hapot"", ""sv-SE"": ""Organiska syror""}",22
24,"OA","{""en-US"": ""Organic acids, total"", ""fi-FI"": ""Orgaaniset hapot"", ""sv-SE"": ""Organiska syror, totalt""}",23
25,"POLYOL","{""en-US"": ""Polyols"", ""fi-FI"": ""Polyolit"", ""sv-SE"": ""Polyoler""}",22
26,"SUGOH","{""en-US"": ""Sugar alcohols"", ""fi-FI"": ""Sokerialkoholi"", ""sv-SE"": ""Sockeralkoholer""}",25
27,"SUGARS","{""en-US"": ""Sugars"", ""fi-FI"": ""Sokerit"", ""sv-SE"": ""Sockerarter""}",22
28,"SUGAR","{""en-US"": ""Sugars, total"", ""fi-FI"": ""Sokerit"", ""sv-SE"": ""Sockerarter, totalt""}",27
29,"FRUS","{""en-US"": ""Fructose"", ""fi-FI"": ""Fruktoosi"", ""sv-SE"": ""Fruktos""}",27
30,"GALS","{""en-US"": ""Galactose"", ""fi-FI"": ""Galaktoosi"", ""sv-SE"": ""Galaktos""}",27
31,"GLUS","{""en-US"": ""Glucose"", ""fi-FI"": ""Glukoosi"", ""sv-SE"": ""Glukos""}",27
32,"LACS","{""en-US"": ""Lactose"", ""fi-FI"": ""Laktoosi"", ""sv-SE"": ""Laktos""}",27
33,"MALS","{""en-US"": ""Maltose"", ""fi-FI"": ""Maltoosi"", ""sv-SE"": ""Maltos""}",27
34,"SUCS","{""en-US"": ""Sucrose"", ""fi-FI"": ""Sakkaroosi"", ""sv-SE"": ""Sackaros""}",27
35,"STARCH","{""en-US"": ""Starch"", ""fi-FI"": ""Tärkkelys"", ""sv-SE"": ""Stärkelse""}",22
36,"STARCH","{""en-US"": ""Starch, total"", ""fi-FI"": ""Tärkkelys"", ""sv-SE"": ""Stärkelse, totalt""}",35
37,"FIBRE","{""en-US"": ""Fibre"", ""fi-FI"": ""Kuitu"", ""sv-SE"": ""Fiber""}",22
38,"FIBC","{""en-US"": ""Fibre, total"", ""fi-FI"": ""Kuitu, kokonais-"", ""sv-SE"": ""Fiber, totalt""}",37
39,"FIBT","{""en-US"": ""Fibre, total dietary"", ""fi-FI"": ""Kuitu yhteissumma"", ""sv-SE"": ""Fiber, totalt""}",37
40,"FIBINS","{""en-US"": ""Fibre, water-insoluble"", ""fi-FI"": ""Kuitu veteen liukenematon"", ""sv-SE"": ""Fiber, olöslig""}",37
41,"POLYSACC","{""en-US"": ""Polysaccharides"", ""fi-FI"": ""Polysakkaridit"", ""sv-SE"": ""Polysackarider""}",22
42,"PSACNCS","{""en-US"": ""Polysaccharides, non-cellulosic, water-soluble"", ""fi-FI"": ""Polysakkaridi, vesiliukoinen ei-selluloosa"", ""sv-SE"": ""Polysackarider, icke-cellulosa, lösliga""}",41
43,"VITAM","{""en-US"": ""Vitamins"", ""fi-FI"": ""Vitamiinit"", ""sv-SE"": ""Vitaminer""}",NULL
44,"WSVITAM","{""en-US"": ""Water soluble vitamins"", ""fi-FI"": ""Vesiliukoiset vitamiinit"", ""sv-SE"": ""Vattenlösliga vitaminer""}",43
45,"FOL","{""en-US"": ""Folate, total"", ""fi-FI"": ""Folaatti, kokonais-"", ""sv-SE"": ""Folat, total""}",44
46,"NIAEQ","{""en-US"": ""Niacin equivalents, total"", ""fi-FI"": ""Niasiiniekvivalentti ne"", ""sv-SE"": ""Niacinekvivalenter""}",44
47,"NIA","{""en-US"": ""Niacin, preformed (nicotinic acid + nicotinamide)"", ""fi-FI"": ""Niasiini (nikotiinihappo + nikotiiniamidi)"", ""sv-SE"": ""Niacin (nikotinsyra+nikotinamid)""}",44
48,"VITPYRID","{""en-US"": ""Vitamers pyridoxine (hydrochloride)"", ""fi-FI"": ""Pyridoksiini vitameerit (vetykloridi) (b6)"", ""sv-SE"": ""Pyridoxin vitamerer (hydroklorid)""}",44
49,"RIBF","{""en-US"": ""Riboflavine"", ""fi-FI"": ""Riboflaviini (b2)"", ""sv-SE"": ""Riboflavin""}",44
