"name[""en-US""]";"name[""fi-FI""]";aliases;parent;attribute:GHG (kgCO₂e);attribute:GHG (kgCO₂e/kg);attribute:GHG (kgCO₂/kWh);attribute:GHG (kgCO₂e/km);attribute:GHG (kgCO₂e/l);attribute:GHG (kgCO₂e/EUR);attribute:Land use (m²/kg);attribute:Land use (m²/l);attribute:Eutrophication (gPO₄eq/kg);attribute:Eutrophication (gPO₄eq/l);attribute:Freshwater footprint (l/kg);attribute:Freshwater footprint (l/l);note;sourceId
Animal feed;Eläinruoka;"[""Kierretikku"", ""Softies herkkupala""]";Supplies;;;;;;3,36;;;;;;;Products for domestic animals;2
Animal feed;Eläinruoka;"[""Kierretikku"", ""Softies herkkupala""]";Supplies;;;;;;3,36;;;;;;;Products for domestic animals;2
Apple, Imported, With Skin;;;;;;;;;;0,63;;;;;;Apples;1
Apple, Imported, With Skin;;;;;;;;;;;;1,45;;;;Apples;1
Apple, Imported, With Skin;;;;;;;;;;;;;;180;;Apples;1
Appliances;Kodinkoneet;;Supplies;;;;;;0,51;;;;;;;Kodinkoneet ja työkalut;2
Appliances;Kodinkoneet;;Supplies;;;;;;0,51;;;;;;;Kodinkoneet ja työkalut;2
Aquarelle paper;Akvarellipaperi;;Arts and crafts;;;;;;0,32;;;;;;;Paperitarvikkeet, kirjat, lehdet;2
Aquarelle paper;Akvarellipaperi;;Arts and crafts;;;;;;0,32;;;;;;;Paperitarvikkeet, kirjat, lehdet;2
Arts and crafts;Askartelu ja taide;;Supplies;;;;;;;;;;;;;;
Avocado Sauce, Guacamole, Industrial;;;;;;;;;0,7;;;;;;;Plant based groceries;2
Avocado Sauce, Guacamole, Industrial;;;;;;;;;0,7;;;;;;;Plant based groceries;2
Baby toy;Vauvanlelu;"[""Vauvan- Ja Kehityslelut""]";Children's supplies;;;;;;;;;;;;;;
Baking paper;Leivinpaperi;;Kitchen;;;;;;0,72;;;;;;;Paper, carton and cardboard products;2
Baking paper;Leivinpaperi;;Kitchen;;;;;;0,72;;;;;;;Paper, carton and cardboard products;2
Baking Yeast, Fresh;;"[""Kuivahiiva""]";;;;;;;0,7;;;;;;;Plant based groceries;2
Baking Yeast, Fresh;;"[""Kuivahiiva""]";;;;;;;0,7;;;;;;;Plant based groceries;2
Bamboo Shoots, Canned;;"[""Bamboo"", ""Bambu"", ""Bambuja""]";;;;;;;;;;;;;;;
Banana, Without Skin;;;;;;;;;;1,93;;;;;;Bananas;1
Banana, Without Skin;;;;;;;;;;;;3,29;;;;Bananas;1
Banana, Without Skin;;;;;;;;;;;;;;115;;Bananas;1
Barbeque Sausage, Meaty, Average;;"[""Eetvartti""]";;;;;;;;;;;;;;;
Barber;Parturi;;Recreational services;;;;;;;;;;;;;;
Barley, Rolled, Barley Flakes;;;;;;;;;;1,11;;;;;;Barley;1
Barley, Rolled, Barley Flakes;;;;;;;;;;;;2,33;;;;Barley;1
Barley, Rolled, Barley Flakes;;;;;;;;;;;;;;17;;Barley;1
Bay leaf;Laakerinlehti;;Spices;;;;;;;;;;;;;;
Beef;;;;;;;;;;326,21;;;;;;Beef (beef herd);1
Beef;;;;;;;;;;43,24;;;;;;Beef (dairy herd);1
Beef;;;;;;;;;;;;301,41;;;;Beef (beef herd);1
Beef;;;;;;;;;;;;365,29;;;;Beef (dairy herd);1
Beef;;;;;;;;;;;;;;1451;;Beef (beef herd);1
Beef;;;;;;;;;;;;;;2714;;Beef (dairy herd);1
Beef Mince, 17% Fat, Fried Without Fat;;"[""Nauta jauheliha"", ""Jauhettu naudanliha"", ""Ground beef""]";;;;;;;;;;;;;;;
Beef Steak, Fried;;"[""Beef"", ""Beef steak""]";;;;;;;;;;;;;;;
Beer, Lager, Medium Strength, 4.5% Volume;;"[""Beer"", ""Olut"", ""Lager"", ""Pils""]";;;;;;;;;;;;;;;
Beer, Lager, Strong, 5-5.5% Volume;;"[""NEIPA""]";;;;;;;;;;;;;;;
Berries;;;;;1,53;;;;;;;;;;;Berries & Grapes;1
Berries;;;;;;;;;;2,41;;;;;;Berries & Grapes;1
Berries;;;;;;;;;;;;6,12;;;;Berries & Grapes;1
Berries;;;;;;;;;;;;;;420;;Berries & Grapes;1
Berries;;;;;;;;;0,7;;;;;;;Plant based groceries;2
Berries;;;;;;;;;0,7;;;;;;;Plant based groceries;2
Berry, Average;"[""Pakkasmarja marjaseos""]";;;;;;;;;;;;;;;;
Biscuit;;"[""Sydänhyvä pikkuleipä""]";;;;;;;;;;;;;;;
Blueberry, Bilberry;;"[""Kotimainen pakastemustikka""]";;;;;;;0,7;;;;;;;Plant based groceries;2
Blueberry, Bilberry;;"[""Kotimainen pakastemustikka""]";;;;;;;0,7;;;;;;;Plant based groceries;2
Body lotion;Vartalovoide;;Skincare products;;;;;;;;;;;;;;
Bread, mixed flour;;;;;;;;;0,7;;;;;;;Plant based groceries;2
Bread, mixed flour;;;;;;;;;0,7;;;;;;;Plant based groceries;2
Breakfast Cereal, Chocolate Cereal, Average;;"[""Suklaavehnärenkaita""]";;;;;;;;;;;;;;;
Breakfast Cereal, Chocolate Cereal, Weetos Choco, Weetabix;;"[""Suklaa vehnämuroke""]";;;;;;;;;;;;;;;
Breakfast cereals;;;;;;;;;0,7;;;;;;;Plant based groceries;2
