"name[""en-US""]","name[""fi-FI""]",aliases,parent,attribute:GHG (kgCO₂e),attribute:GHG (kgCO₂e/kg),attribute:GHG (kgCO₂e/kWh),attribute:GHG (kgCO₂e/km),attribute:GHG (kgCO₂e/l),attribute:GHG (kgCO₂e/EUR),note,sourceId
Almond,Manteli,,,,"1,54",,,,,"Almonds, median",1
"Almond Drink, Unsweetened, Alrpo","Mantelijuoma, makeuttamaton, alpro","[""Mantelijuoma""]",,,,,,"0,42",,"Almond/coconut milk, median",1
Animal feed,Eläinruoka,"[""Kierretikku"", ""Softies herkkupala""]",Supplies,,,,,,"3,36",Products for domestic animals,2
"Apple Juice, Unsweetened, Vitamin C",,"[""Omenatäysmehu""]",,,,,,"0,71",,Secondary source,7
"Apple, Domestic, With Skin","Omena, kotimainen, kuorineen","[""Omena"", ""Granny Smith"", ""Golden omena"", ""Royal Gala"", ""Ida Red""]",,,"0,29",,,,,"Apples, median",1
Appliances,Kodinkoneet,,Supplies,,,,,,"0,51",Kodinkoneet ja työkalut,2
"Apricot, Average, With Stone","Aprikoosi, keskiarvo, punnittu kivineen","[""Aprikoosi""]",,,"0,43",,,,,"Apricot, median",1
Aquarelle paper,Akvarellipaperi,,Arts and crafts,,,,,,"0,32","Paperitarvikkeet, kirjat, lehdet",2
Artichoke,Latva-artisokka,,,,"0,48",,,,,"Artichokes, median",1
Arts and crafts,Askartelu ja taide,,Supplies,,,,,,,,
"Asparagus, Raw, Cleaned","Parsa, raaka, puhdistettu",,,,"0,83",,,,,"Asparagus, median",1
Aubergine,Munakoiso,,,,"1,35",,,,,"Eggplants (aubergines), median",1
Avocado  with skin and stone,,"[""Avokadopussi""]",,,"1,3",,,,,"Avocados, median",1
"Avocado Sauce, Guacamole, Industrial",,,,,,,,,"0,7",Plant based groceries,2
B20 biodiesel,B20 biodiesel,,Motor fuel,,,,,"2,14",,,3
B20 biodiesel,,,Motor fuel,,,,,"2,62",,,16
"B20 biodiesel, small engine","B20 biodiesel, pienkone",,Small engine fuel,,,,,"2,14",,,3
"B20 biodiesel, small engine",,,Small engine fuel,,,,,"2,62",,,16
Baby toy,Vauvanlelu,"[""Vauvan- Ja Kehityslelut""]",Children's supplies,,,,,,,,
Baking paper,Leivinpaperi,,Kitchen,,,,,,"0,72","Paper, carton and cardboard products",2
"Baking Yeast, Fresh",,"[""Kuivahiiva""]",,,,,,,"0,7",Plant based groceries,2
"Bamboo Shoots, Canned",,"[""Bamboo"", ""Bambu"", ""Bambuja""]",,,,,,,,,
"Banana, With Skin",,"[""Banaani""]",,,"0,72",,,,,"Musa, bananas, median",1
Barber,Parturi,,Recreational services,,,,,,,,
"Barley, Rolled, Barley Flakes",,,,,"0,43",,,,,"Barley, median",1
Bay leaf,Laakerinlehti,,Spices,,,,,,,,
"Bean, Green Bean, String Bean","Papu, vihreä taitepapu, tuore","[""Vihreä papu""]",,,"0,31",,,,,"Beans: green, median",1
"Bean, Green Bean, String Bean","Papu, vihreä taitepapu, tuore",,,,"0,75",,,,,"Beans: french and runner, median",1
Beef,Nauta,,,,15,,,,,"Beef, raw",4
Beef,Nauta,,,,"26,61",,,,,"Beef: world average, median",1
"Beef Steak, Grilled",,,,,15,,,,,"Beef, raw",4
"Beef, Cured, 2.8% Fat",,"[""Paahtopaisti""]",,,15,,,,,"Beef, raw",4
"Beer, Alcohol-Free, 0.0% Volume",,"[""Pils alkoholiton"", ""Crisp IPA""]",,,,,,"0,54",,"Beer, cradle-to-grave",5
"Beer, Lager, Medium Strength, 4.5% Volume",,"[""Beer"", ""Olut"", ""Lager"", ""Pils""]",,,,,,,,,
"Beer, Lager, Strong, 5-5.5% Volume",,"[""NEIPA""]",,,,,,,,,
Beers,,,,,,,,"0,54",,"Beer, cradle-to-grave",5
"Beetroot, Red Beet",Punajuuri,,,,"0,24",,,,,"Beetroot, median",1
Berries,,,,,,,,,"0,7",Plant based groceries,2
"Berry, Average","[""Pakkasmarja marjaseos""]",,,,,,,,,,
Biscuit,,"[""Sydänhyvä pikkuleipä""]",,,,,,,,,
Blackcurrant,Mustaherukka,,,,"0,84",,,,,"Currants and gooseberries, median",1
Blended spread >= 55 %,,,,,"9,25",,,,,"Butter, median",1
Blueberry,"Mustikka, pensasmustikka",,,,"0,92",,,,,"Cranberries/blueberries, median",1
"Blueberry, Bilberry",,"[""Kotimainen pakastemustikka""]",,,,,,,"0,7",Plant based groceries,2
Body lotion,Vartalovoide,,Skincare products,,,,,,,,
"Bread, mixed flour",,,,,"1,55",,,,,"Bread, cradle-to-grave, 0.6-2.5 kg",6
"Bread, mixed flour",,,,,,,,,"0,7",Plant based groceries,2
"Breakfast Cereal, Chocolate Cereal, Average",,"[""Suklaavehnärenkaita""]",,,,,,,,,
"Breakfast Cereal, Chocolate Cereal, Weetos Choco, Weetabix",,"[""Suklaa vehnämuroke""]",,,,,,,,,
Breakfast cereals,,,,,,,,,"0,7",Plant based groceries,2
Broccoli,,"[""Parsakaali""]",,,"0,6",,,,,"Broccoli, median",1
Brush,Sivellin,"[""Siveltimet""]",Supplies,,,,,,"0,46",Factory products,2
Buffalo,Biisoni,,Beef,,"60,43",,,,,"Buffalo, median",1
Buffalo milk,Biisonin maito,,Milks >2% fat,,"3,57",,,,,"Buffalo milk, median",1
Buns,,,,,"2,5",,,,,"Pastry, including waste, secondary source",7
"Bus, city",,,,,,,,,"0,8",Bus trips,2
"Bus, city","Linja-auto, kaupunkiliikenne",,Public transport,,,,"0,063",,,"Linja-auto, kaupunkiliikenne",8
"Bus, long-distance",,,,,,,,,"0,8",Bus trips,2
"Bus, long-distance","Linja-auto, pitkänmatkanliikenne",,Public transport,,,,"0,054",,,"Linja-auto, pitkänmatkanliikenne",8
Butter,Voi,,,,"9,25",,,,,"Butter, median",1
Café,Kahvila,,Services,,,,,,"0,49",Ravintolapalvelut,2
"Cake, Mocha Cake",,"[""Brownie""]",,,,,,,,,
Canned fruits,,,,,,,,,"0,7",Plant based groceries,2
Canned vegetables,,,,,,,,,"0,7",Plant based groceries,2
Car supplies,Autotarvikkeet,"[""Lasinpesuneste""]",Supplies,,,,,,"0,86",Motor vehicle and motor parts and supplies,2
Car wash,Autopesu,"[""Pesut"", ""Peruspesu""]",Services,,,,,,,,
Cardboard box,Pahvilaatikko,,Supplies,,,,,,"0,72","Paper, carton and cardboard products",2
Carp,Karppi,,Fish,,"1,76",,,,,"Carp, median",1
Carpets,Matot,,Interior design,,,,,,"0,42","Huonekalut, matot",2
Carrot,Porkkana,,,,"0,2",,,,,"Carrots, median",1
Cashew Cranberry Mix,,,Snacks,,,,,,,,
Cauliflower,Kukkakaali,,,,"0,36",,,,,"Cauliflowers and broccoli, median",1
Celery,,,,,"0,18",,,,,"Celery, median",1
