text,productId,transactionId,price
Sondey luomu riisikakku,1,1,0.99
Nixe tonnikala öljyssä,2,1,1.35
PohjolanMeijeri Kauraj.Kahvi,3,1,1.79
Halva Vanhat Autot salmiakki,4,1,1.2
Valio Oivariini vähärasvais.,5,1,3.45
LordNelson rooibos appelsiin,6,1,1.69
OceanSea fileekalapuikot,7,1,1.99
Koskikylän pinaattiohukaiset,8,1,1.29
Koskikylän veriohukaiset,9,1,1.29
Luomu peruna 1kg,10,2,1.49
Piltti mangosose kuutoset 4k,11,2,1.85
PohjolanMeijeri lakt. ruokak,12,3,0.76
My Best Veggie luomutofu nat,13,3,1.25
Milbona juustok. & oliiveja,14,3,1.98
Alesto Pähkinäsekoitus XXL,15,3,8.49
