code	url	creator	created_t	last_modified_t	product_name	abbreviated_product_name	generic_name	quantity	packaging	packaging_tags	packaging_text	brands	brands_tags	categories	categories_tags	origins	origins_tags	manufacturing_places	manufacturing_places_tags	labels	labels_tags	emb_codes	emb_codes_tags	cities	cities_tags	purchase_places	stores	countries	ingredients_text	allergens	allergens_tags	traces	traces_tags	serving_size	serving_quantity	no_nutriments	additives_n	additives_tags	ingredients_from_palm_oil_n	ingredients_from_palm_oil	ingredients_from_palm_oil_tags	ingredients_that_may_be_from_palm_oil_n	ingredients_that_may_be_from_palm_oil	ingredients_that_may_be_from_palm_oil_tags	nutriscore_score	nutriscore_grade	nova_group	pnns_groups_1	pnns_groups_2	states	brand_owner	main_category	image_url	image_small_url	image_front_url	image_front_small_url	image_ingredients_url	image_ingredients_small_url	image_nutrition_url	image_nutrition_small_url	energy-kj_100g	energy-kcal_100g	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	-butyric-acid_100g	-caproic-acid_100g	-caprylic-acid_100g	-capric-acid_100g	-lauric-acid_100g	-myristic-acid_100g	-palmitic-acid_100g	-stearic-acid_100g	-arachidic-acid_100g	-behenic-acid_100g	-lignoceric-acid_100g	-cerotic-acid_100g	-montanic-acid_100g	-melissic-acid_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	-alpha-linolenic-acid_100g	-eicosapentaenoic-acid_100g	-docosahexaenoic-acid_100g	omega-6-fat_100g	-linoleic-acid_100g	-arachidonic-acid_100g	-gamma-linolenic-acid_100g	-dihomo-gamma-linolenic-acid_100g	omega-9-fat_100g	-oleic-acid_100g	-elaidic-acid_100g	-gondoic-acid_100g	-mead-acid_100g	-erucic-acid_100g	-nervonic-acid_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	-sucrose_100g	-glucose_100g	-fructose_100g	-lactose_100g	-maltose_100g	-maltodextrins_100g	starch_100g	polyols_100g	fiber_100g	-soluble-fiber_100g	-insoluble-fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-dried_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	carbon-footprint-from-meat-or-fish_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
20002381	https://world.openfoodfacts.org/product/20002381	kiliweb	1509879552	1615208272	Gouda affiné		Gouda Holland SMM. Goudajuustoviipale. Rasvapitoisuus 32%. Kypsytetty vähintään 4 kuukautta.	300 g	07 O	07-o		Milbona	milbona	Maitotuotteet,Hapatetut ruoat,Hapatetut maitotuotteet,Juusto,Alankomaalaiset juustot,Siivutetut juustot,Gouda	en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:cheeses-of-the-netherlands,en:sliced-cheeses,en:gouda			Netherlands	netherlands	Voimakassuolainen, SMM, en:Made in Netherlands 	en:high-in-salt-finland,en:pgi,en:made-in-netherlands	NL Z 0507 EC	nl-z-0507-ec			Finland	Lidl	Suomi,Ranska,Saksa,Espanja	pastöroitu _maito_, suola, hapatteet (sis, _maitoa_), juoksete, värit (karotenoidit, annatto**), säilöntäaineet (natriumnitraatti, natamysiini**), **vain juuston kuoressa, Kuorta ei ole tarkoitettu syötäväksi,	en:milk	en:milk						4	en:e160,en:e160b,en:e235,en:e251	0			0			18	d	4	Milk and dairy products	Cheese	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:packaging-photo-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded		en:gouda	https://static.openfoodfacts.org/images/products/20002381/front_fi.53.400.jpg	https://static.openfoodfacts.org/images/products/20002381/front_fi.53.200.jpg	https://static.openfoodfacts.org/images/products/20002381/front_fi.53.400.jpg	https://static.openfoodfacts.org/images/products/20002381/front_fi.53.200.jpg	https://static.openfoodfacts.org/images/products/20002381/ingredients_fi.37.400.jpg	https://static.openfoodfacts.org/images/products/20002381/ingredients_fi.37.200.jpg	https://static.openfoodfacts.org/images/products/20002381/nutrition_fi.55.400.jpg	https://static.openfoodfacts.org/images/products/20002381/nutrition_fi.55.200.jpg	1633	407	1633		33	20.1																																			0	0												27.5				2.09	0.836																																												18								
6411401037870	https://world.openfoodfacts.org/product/6411401037870	kiliweb	1522662212	1610933693	Tutti Frutti yoghurt splash		Assorted Sweets					Fazer	fazer	Snacks, Sweet snacks, Confectioneries, Candies	en:snacks,en:sweet-snacks,en:confectioneries,en:candies			Finland	finland									France,Finland	glucose syrup, sugar, gelatin, acidity regulators (E 330, E270, E331), stabilizer (E422), gelling agent (E440, E407), skimmed milk yogurt powder (from _milk_), _skimmed milk powder_, flavourings, colours (E171, E120, E141, E100, E160a), glazing agent (E903). May contain wheat.		en:milk,en:skimmed-milk-powder		en:gluten				13	en:e100,en:e120,en:e141,en:e160a,en:e171,en:e270,en:e330,en:e331,en:e407,en:e422,en:e428,en:e440,en:e903	0			1		e160a-beta-carotene	14	d	4	Sugary snacks	Sweets	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-validated, en:packaging-photo-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded		en:candies	https://static.openfoodfacts.org/images/products/641/140/103/7870/front_en.27.400.jpg	https://static.openfoodfacts.org/images/products/641/140/103/7870/front_en.27.200.jpg	https://static.openfoodfacts.org/images/products/641/140/103/7870/front_en.27.400.jpg	https://static.openfoodfacts.org/images/products/641/140/103/7870/front_en.27.200.jpg	https://static.openfoodfacts.org/images/products/641/140/103/7870/ingredients_en.17.400.jpg	https://static.openfoodfacts.org/images/products/641/140/103/7870/ingredients_en.17.200.jpg	https://static.openfoodfacts.org/images/products/641/140/103/7870/nutrition_en.25.400.jpg	https://static.openfoodfacts.org/images/products/641/140/103/7870/nutrition_en.25.200.jpg		337	1410		0.5	0.1																																			77	51												5.6				0.2	0.08																																												14								
7393714287380	https://world.openfoodfacts.org/product/7393714287380	juho-of-consumerium-org	1599380968	1610919153	Alkoholiton Strawberry & Lime			500ml	alu	alu		Kopparberg	kopparberg	Alkoholittomat siiderit	fi:alkoholittomat-siiderit													Finland	"HIILIHAPOTETTU VESI, FERMENTOIDUT OMENAT, TÄYSMEHU (OMENA, MANSIKKA, SELJANMARJA, LIME), SOKERI, AROMIAINEET, HAPPO (SITRUUNAHAPPO), SÄILÖNTÄAINEET (KALIUMSORBAATTI), HAPETTUMISENESTOAINE (E224/SULFIITTI)"								3	en:e202,en:e224,en:e330	0			0			2	b	4	unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded		fi:alkoholittomat-siiderit	https://static.openfoodfacts.org/images/products/739/371/428/7380/front_fi.4.400.jpg	https://static.openfoodfacts.org/images/products/739/371/428/7380/front_fi.4.200.jpg	https://static.openfoodfacts.org/images/products/739/371/428/7380/front_fi.4.400.jpg	https://static.openfoodfacts.org/images/products/739/371/428/7380/front_fi.4.200.jpg	https://static.openfoodfacts.org/images/products/739/371/428/7380/ingredients_fi.7.400.jpg	https://static.openfoodfacts.org/images/products/739/371/428/7380/ingredients_fi.7.200.jpg	https://static.openfoodfacts.org/images/products/739/371/428/7380/nutrition_fi.13.400.jpg	https://static.openfoodfacts.org/images/products/739/371/428/7380/nutrition_fi.13.200.jpg	174	41	174		0.5	0.1																																			10	10												0.5				0.01	0.004																																												2								
8008698007303	https://world.openfoodfacts.org/product/8008698007303	guibs1	1425216966	1616924905	Tartine croustillante			150g	Carton,packet, en:card-box, en:mixed plastic-packet	carton,packet,en-card-box,en-mixed-plastic-packet		schar	schar	"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Pains,Céréales et pommes de terre,Tartines craquantes"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:crispbreads			Espagne	espagne	No gluten, FACE, Green Dot, No lactose, fr:rembourse-fr-0-72, fr:sans-ble	en:no-gluten,en:face,en:green-dot,en:no-lactose,fr:rembourse-fr-0-72,fr:sans-ble					Gap,France	Leclerc,Magasins U	Danemark,Finlande,Allemagne,France,Suède,Norvège,Italie,Hongrie,Russie,Portugal,Espagne,Pays-Bas,Suisse,Slovénie,Royaume-Uni, en:belgium, en:germany	rice flour, corn flour, sugar, salt, may contain traces of soy, without lactose (lactose,lt,0,007g/100g), store in a cool and dry place,			en:soybeans	en:milk,en:soybeans	27g	27		0		0			0			9	c	4	Cereals and potatoes	Bread	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded		en:crispbreads	https://static.openfoodfacts.org/images/products/800/869/800/7303/front.10.400.jpg	https://static.openfoodfacts.org/images/products/800/869/800/7303/front.10.200.jpg	https://static.openfoodfacts.org/images/products/800/869/800/7303/front.10.400.jpg	https://static.openfoodfacts.org/images/products/800/869/800/7303/front.10.200.jpg	https://static.openfoodfacts.org/images/products/800/869/800/7303/ingredients.11.400.jpg	https://static.openfoodfacts.org/images/products/800/869/800/7303/ingredients.11.200.jpg	https://static.openfoodfacts.org/images/products/800/869/800/7303/nutrition.9.400.jpg	https://static.openfoodfacts.org/images/products/800/869/800/7303/nutrition.9.200.jpg		380	1590		1.7	0.3																																			84	6									2.3			6				1.4	0.56																																												9								
20829735	https://world.openfoodfacts.org/product/20829735	jumati	1589653828	1615633499	Pommes Frites		Maustettu ranskanperuna. Esipaistettu pakaste.	1 kg	04 PE,Plastic	04-pe,plastic	1, Pussi, 04 PE	Harvest Basket,Lidl	harvest-basket,lidl	Chips et frites,Surgelés,Pommes de terre préfrites surgelées,Frites,Frites surgelées	en:chips-and-fries,en:frozen-foods,en:frozen-fried-potatoes,en:fries,en:frozen-fries			Belgium	belgium	Valmistettu Belgiassa, Sisältää auringonkukkaöljyä	en:made-in-belgium,en:with-sunflower-oil					Finland	Lidl	Danemark,Finlande,Suède,en:france	89 % perunaa, 6 % auringonkukkaöljyä, paneerausseos [riisijauho, suola, dekstriini, nostatusaineet (difosfaatit, natriumkarbonaatit), sakeuttamisaine (ksantaanikumi), rypälesokeri, paprikauute, kurkumauute, auringonkukkaöljy],					100g	100		6	en:e100,en:e1400,en:e160c,en:e415,en:e450,en:e500	0			0			1	b	4	Cereals and potatoes	Potatoes	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:packaging-photo-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded		en:frozen-fries	https://static.openfoodfacts.org/images/products/20829735/front_fi.58.400.jpg	https://static.openfoodfacts.org/images/products/20829735/front_fi.58.200.jpg	https://static.openfoodfacts.org/images/products/20829735/front_fi.58.400.jpg	https://static.openfoodfacts.org/images/products/20829735/front_fi.58.200.jpg	https://static.openfoodfacts.org/images/products/20829735/ingredients_fi.32.400.jpg	https://static.openfoodfacts.org/images/products/20829735/ingredients_fi.32.200.jpg	https://static.openfoodfacts.org/images/products/20829735/nutrition_fi.60.400.jpg	https://static.openfoodfacts.org/images/products/20829735/nutrition_fi.60.200.jpg	725	135	725		3.1	0.4																																			22.9	0.5												2.6				0.14	0.056																																												1								
8000500267103	https://world.openfoodfacts.org/product/8000500267103	openfoodfacts-contributors	1497291147	1613492287	Kinder delice cacao gateau enrobe au cacao et fourre au lait t10 pack de 10 pieces		KINDER DELICE CACAO : Petit gâteau enrobé au cacao et fourré au lait	390 g (10 x 39g)	sachet,plastique,Petit Format,wrapper	sachet,plastique,petit-format,wrapper		Kinder	kinder	Snacks, Desserts, Sweet snacks, Biscuits and cakes, Cakes, Chocolate cakes, en:chocolate-candies	en:snacks,en:desserts,en:sweet-snacks,en:confectioneries,en:biscuits-and-cakes,en:chocolate-candies,en:cakes,en:chocolate-cakes					Green Dot,Made in Italy	en:green-dot,en:made-in-italy					france,Finland	Magasins U,Delhaize,S-market	Belgium,France,Italy,Mexico,Spain,Switzerland,fr:Bélgica,fr:Francia,Finland	"Sucre, graisses végétales (palme, karité, sal), sirop de glucose-fructose, humectant : glycerol, lait en poudre réhydraté 7%, farine de froment 6,5%, lait écrémé en poudre 5%, dextrose, cacao maigre 3%, cacao 3%, oeuf 2,5%, lactoserum en poudre, jus de poire concentré, amidon de froment, lait en poudre 0,5%, émulsifiants (lécithines [soja], mono et diglycérides d'acides gras), poudres à lever (carbonate d'ammonium, carbonate acide de sodium), jus de citron concentré, arômes, beurre de cacao, sel, pâte de cacao, beurre concentré"	en:eggs,en:gluten,en:milk,en:soybeans	en:eggs,en:gluten,en:milk,en:soybeans			39g	39		5	en:e322,en:e322i,en:e422,en:e471,en:e500,en:e500ii,en:e503,en:e503i	0			2		huile-vegetale,e471-mono-et-diglycerides-d-acides-gras-alimentaires	22	e	4	Sugary snacks	Biscuits and cakes	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded		en:chocolate-cakes	https://static.openfoodfacts.org/images/products/800/050/026/7103/front_fr.56.400.jpg	https://static.openfoodfacts.org/images/products/800/050/026/7103/front_fr.56.200.jpg	https://static.openfoodfacts.org/images/products/800/050/026/7103/front_fr.56.400.jpg	https://static.openfoodfacts.org/images/products/800/050/026/7103/front_fr.56.200.jpg	https://static.openfoodfacts.org/images/products/800/050/026/7103/ingredients_fr.39.400.jpg	https://static.openfoodfacts.org/images/products/800/050/026/7103/ingredients_fr.39.200.jpg	https://static.openfoodfacts.org/images/products/800/050/026/7103/nutrition_fr.38.400.jpg	https://static.openfoodfacts.org/images/products/800/050/026/7103/nutrition_fr.38.200.jpg	1901	455	1901		22.6	13.1																																			58.8	41									2.86			5.5				0.262	0.1048																																												22								
5690845000102	https://world.openfoodfacts.org/product/5690845000102	immun	1610859743	1610860134	Sitruuna-juustokakku Skyr			170 g	Muovi	muovi		isey	isey	Rahka	en:dairies,en:desserts,en:fermented-foods,en:fermented-milk-products,en:dairy-desserts,en:quark													en:Finland	Pastöroitu rasvaton maito (DK), vesi, sitruunamehutiiviste (3%), keksit (1,5%) (sokeri, vehnäjauho, risijauho, kananmunanvalkuainen, papujauho, vehnätärkkelys, perunatärkkelys, auringonkukkaöljy, aromi, sakeuttamisaine natriumalginaatti, suola), muunnettu maissitärkkelys, hedelmäpaloja, sakeuttamisaine (pektiini), aromi, makeutusaine (sukraloosi, asesulfaami K), väri (kurkumiini), skyrhapatteet.		en:eggs,en:gluten			170g	170		5	en:e100,en:e401,en:e440,en:e950,en:e955	0			0					4	Milk and dairy products	Dairy desserts	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded		en:quark	https://static.openfoodfacts.org/images/products/569/084/500/0102/front_fi.4.400.jpg	https://static.openfoodfacts.org/images/products/569/084/500/0102/front_fi.4.200.jpg	https://static.openfoodfacts.org/images/products/569/084/500/0102/front_fi.4.400.jpg	https://static.openfoodfacts.org/images/products/569/084/500/0102/front_fi.4.200.jpg	https://static.openfoodfacts.org/images/products/569/084/500/0102/ingredients_fi.7.400.jpg	https://static.openfoodfacts.org/images/products/569/084/500/0102/ingredients_fi.7.200.jpg	https://static.openfoodfacts.org/images/products/569/084/500/0102/nutrition_fi.10.400.jpg	https://static.openfoodfacts.org/images/products/569/084/500/0102/nutrition_fi.10.200.jpg					0.2																																				4.8	3.8									0			9.5				0.2	0.08																																																				
20995553	https://world.openfoodfacts.org/product/20995553	openfoodfacts-contributors	1556354695	1616598963					sl:PAP,fr:FSC mixte,Produkt,21 PAP	sl-pap,fr-fsc-mixte,produkt,21-pap		J.D. Gross	j-d-gross	Botanas,Snacks dulces,Chocolates,Chocolates negros	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:dark-chocolates			"Nemčija"	"nemčija"	Comercio justo,Fairtrade International,FSC,FSC Mixto,en:Verified,fr:Fairtrade-cocoa-programme	en:fair-trade,en:fairtrade-international,en:fsc,en:fsc-mix,en:verified,fr:fairtrade-cocoa-programme	FSC-C021442	fsc-c021442			Slovenija,Finland	Lidl	Bélgica,Finlandia,Francia,Alemania,Italia,Eslovenia,España	cocoa mass, lean cocoa powder, cocoa butter, sugar, emulsifier : lecithins of soya, natural aroma of vanilla	en:soybeans	en:soybeans	en:milk,en:nuts	en:milk,en:nuts	12,5 g	12.5		0		0			0			19	e	4	Sugary snacks	Chocolate products	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-to-be-completed, en:product-name-to-be-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-to-be-selected, en:photos-uploaded		en:dark-chocolates									2395	579	2395		46.8	28.2																																			21.4	12.9												10.8				0.03	0.012																																								85				19								
6411401036200	https://world.openfoodfacts.org/product/6411401036200	inf	1610808615	1610808688	"ÄSSÄ missä x"																							en:Finland	sugar, glucose syrup, modified starch, wheatstardh acidity regulators (e270, e330, é325), ammonium chloride, liquorice enat,am starch, flavourings, fully hydrogenated vegetable fat (palm, rapeseed unlowet, colours (e153, e163, e120, e141, e160a, e100), store in a cool and dry place, producer:fazer confectionery, finland, ttvaihdella, warjere,								11	en:e100,en:e120,en:e141,en:e14xx,en:e153,en:e160a,en:e163,en:e270,en:e325,en:e330,en:e510	0			1		e160a-beta-carotene			4	unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-selected, en:front-photo-to-be-selected, en:photos-uploaded							https://static.openfoodfacts.org/images/products/641/140/103/6200/ingredients_en.5.400.jpg	https://static.openfoodfacts.org/images/products/641/140/103/6200/ingredients_en.5.200.jpg																																																																																																																	
6408430005406	https://world.openfoodfacts.org/product/6408430005406	inf	1610799608	1610799710	valio jäätelö fabriikki sitruuna laku																							en:Finland	Laktoositonta eltruunanmakuista kerma - telöä, lakritsikastiketta 10% ja lakritsinmakuisia paloja 5% Ainesosat: pastöroitu maito ja kerma, soe, maito - jauhe, dekstroosi, tärkkelyssiirappi, kookoy, emulgointiaiet (rasvahappojen mono - ja diglyseridit, auonkukkalesitini), sakeuttamisaineet (johanneksenleipäpuujathe, guarkumi), voil munnettu maissitärkkelys, lakritsinjuuriuute, suola, värit (kasvihi kurkumiini), aromit ja luontainen sitruuna-aromi, Saattaa sisälta pieniä määriä pähkinöitä, Ja jäätelön terapeuttisia vaikutuksia Hyötyvaikutukset: Lisää päivittäisiä askeleita pakkaselle, Laktosfri gräddglass med citronsmak, lakritssås 10% och bitar med lakritssmak 5% Ingredienser: pastöriserad mjölk och grädde, socker, mjölkpuiver, dextros, glukossirap, kokosolja, emulgeringsmedel (mono - ah diglycerider av fettsyror, solroslecitin), förtjockningsmedel (fruk - kämmjöl, guarkärnmjöl), smörolja, modifierad majsstärkeise, akritsrotsextrakt, salt, färgämnen (vegetabiliskt kol, kurkumin), aromer och naturlig citronarom, Kan innehålla spår av nötter, Säilytys/Förvaring: Avaamattomana pakastimessa (-18°C), katso parasta ennen-merkintä, Jääkaapin pakaste - osassa (-6°C) 4-5 tuntia, Oöppnadi frys (-18°C), se bäst före-märkningen, Ikylskåpets frysfack (-6°C) 4-5 timmar, Parasta ennen/Bäst före: katso pohja, Se botten, Valmistaja/Tillverkare: Kangaskontiontie 2,90240 Oulu, 25 www,valio,fi hymyä		en:milk						2	en:e412,en:e471	0			0					4	unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-to-be-selected, en:photos-uploaded							https://static.openfoodfacts.org/images/products/640/843/000/5406/ingredients_en.4.400.jpg	https://static.openfoodfacts.org/images/products/640/843/000/5406/ingredients_en.4.200.jpg																																																																																																																	
