"attribute.name[""en-US""]";sourceId;minValue;maxValue;unit;perUnit;minimumAge;maximumAge;sex;weight;pav;pal;note
price;66;;10.1;euro;;;;;;;;male or female under 45 years living alone average
ghg;63;;4,68;kg;;;;;;;;global food footprint average
freshwater footprint;65;;156;l;;;;;;;;global food footprint average
land use;66;;5,2;m²;;;;;;;;global cropland average
eutrophication;63;;21,76;gPO₄eq;kg;;;;;;;food median
energy,calculated;67;9;;MJ;;25;50;female;64,1;;1,6;
energy,calculated;67;11,3;;MJ;;25;50;male;74,8;;1,6;
energia, calculated without fibre;;;;;;;;;;;;
fat, total;;;;;;;;;;;;
carbohydrate, available;64;45;60;percent;energy;;;;;;;
carbohydrate, difference;;;;;;;;;;;;
carbohydrate, monosaccharide equivalents;;;;;;;;;;;;
protein, total;64;10;20;percent;energy;;;;;;;
alcohol;;;;;;;;;;;;
ash (minerals);;;;;;;;;;;;
water (moisture);;;;;;;;;;;;
organic acids, total;;;;;;;;;;;;
sugar alcohols;;;;;;;;;;;;
sugars, total;64;;10;percent;energy;;;;;;;
fructose;;;;;;;;;;;;
galactose;;;;;;;;;;;;
glucose;;;;;;;;;;;;
lactose;;;;;;;;;;;;
maltose;;;;;;;;;;;;
sucrose;;;;;;;;;;;;
oligosaccharides, available;;;;;;;;;;;;
starch, total;;;;;;;;;;;;
fibre, total;64;3;;g;MJ;;;;;;;
fibre, total dietary;;;;;;;;;;;;
fibre, water-insoluble;;;;;;;;;;;;
starch, resistant;;;;;;;;;;;;
cellulose;;;;;;;;;;;;
lignin;;;;;;;;;;;;
polysaccharides, non-cellulosic, water-soluble;;;;;;;;;;;;
polysaccharides, non-cellulosic, water-insoluble;;;;;;;;;;;;
polysaccharides, non-cellulosic;;;;;;;;;;;;
agar;;;;;;;;;;;;
beta-glucan;;;;;;;;;;;;
gums;;;;;;;;;;;;
pectin;;;;;;;;;;;;
sorbitol;;;;;;;;;;;;
xylitol;;;;;;;;;;;;
mannitol;;;;;;;;;;;;
biotin (vitamin H);;;;;;;;;;;;
folate, total;64;300;;µg;;;;;;;;
5-CH3-H4-folate;;;;;;;;;;;;
folate, free;;;;;;;;;;;;
H4-folate;;;;;;;;;;;;
5-HCO-H4-folate;;;;;;;;;;;;
10-HCO-folic acid;;;;;;;;;;;;
folate (microbiological assay);;;;;;;;;;;;
niacin equivalents, total;;;;;;;;;;;;
niacin, preformed (nicotinic acid + nicotinamide);;;;;;;;;;;;
pantothenic acid (vitamin B5);;;;;;;;;;;;
vitamers pyridoxine (hydrochloride);;;;;;;;;;;;
pyridoxine vitamers;;;;;;;;;;;;
pyridoxal;;;;;;;;;;;;
pyridoxamin;;;;;;;;;;;;
pyridoxin;;;;;;;;;;;;
vitamin B-6, total;67;1,8;;mg;;15;70;male;;;;
riboflavine;;;;;;;;;;;;
thiamin (vitamin B1);67;0,1;;;;;;;;;;
vitamin A  retinol activity equivalents;;;;;;;;;;;;
vitamin A  retinol equivalents;67;800;;µg;;18;70;male;;;;
retinol;;;;;;;;;;;;
13-cis retinol;;;;;;;;;;;;
dehyroretinol;;;;;;;;;;;;
all-trans-retinol;;;;;;;;;;;;
cis-11-retinol;;;;;;;;;;;;
dicis-911-retinol;;;;;;;;;;;;
cis-9-retinol;;;;;;;;;;;;
beta-carotene equivalents (provitamin A carotenoids);;;;;;;;;;;;
carotenoids, total;;;;;;;;;;;;
alpha-carotene;;;;;;;;;;;;
beta-carotene, total;;;;;;;;;;;;
gamma-carotene;;;;;;;;;;;;
cryptoxanthin;;;;;;;;;;;;
canthaxanthine;;;;;;;;;;;;
capsanthine;;;;;;;;;;;;
lutein plus zeaxanthine;;;;;;;;;;;;
lycopene;;;;;;;;;;;;
all-trans beta-carotene;;;;;;;;;;;;
zeaxanthine;;;;;;;;;;;;
lutein;;;;;;;;;;;;
vitamin B-12 (cobalamin);67;3,2;;µg;;15;;male;;;;
vitamin C (ascorbic acid);67;110;;mg;;18;;male;;;;
vitamin D;67;10;;µg;;11;70;male;;;;
25-hydroxycholecalciferol;;;;;;;;;;;;
ergocalciferol (vitamin D2);;;;;;;;;;;;
vitamin E  alphatocopherol;67;9;;mg;;15;;male;;;;
vitamin E  alpha-tocopherol equivalents;;;;;;;;;;;;
alpha-tocopherol;;;;;;;;;;;;
beta-tocopherol;;;;;;;;;;;;
delta-tocopherol;;;;;;;;;;;;
gamma-tocopherol;;;;;;;;;;;;
alpha-tocotrienol;;;;;;;;;;;;
beta-tocotrienol;;;;;;;;;;;;
gamma-tocotrienol;;;;;;;;;;;;
delta-tocotrienol;;;;;;;;;;;;
vitamin K, total;67;60;;µg;;18;70;male;;;;
menaquinone;;;;;;;;;;;;
phylloquinone;;;;;;;;;;;;
menadione;;;;;;;;;;;;
vitamin K-1 (phyllokinone);;;;;;;;;;;;
vitamin K-2 (menakinone);;;;;;;;;;;;
aluminium;;;;;;;;;;;;
arsenic;;;;;;;;;;;;
boron;;;;;;;;;;;;
bromide;;;;;;;;;;;;
calcium;67;950;;mg;;25;;male;;;;
cadmium;;;;;;;;;;;;
chloride (chlorine);;;;;;;;;;;;
cobalt;;;;;;;;;;;;
chromium;;;;;;;;;;;;
copper;67;900;;µg;;15;;male;;;;
fluoride (fluorine);67;3,7;;mg;;25;70;male;;;;
iron, total;64;9;;mg;;;;male;;;;
iron, total;64;15;;mg;;;;female;;;;
mercury;;;;;;;;;;;;
iodide (iodine);67;150;;µg;;18;;male;;;;
potassium;;;;;;;;;;;;
magnesium;67;350;;mg;;18;;male;;;;
manganese;67;3;;µg;;18;;male;;;;
molybdenum;67;65;;µg;;18;;male;;;;
sodium;;;;;;;;;;;;
salt;64;;5;g;;;;;;;;
nickel;;;;;;;;;;;;
nitrogen, total;;;;;;;;;;;;
phosphorus;67;520;;mg;;25;;male;;;;
lead;;;;;;;;;;;;
rubidium;;;;;;;;;;;;
sulphur;;;;;;;;;;;;
selenium, total;67;90;;µg;;18;70;male;;;;
silicon;;;;;;;;;;;;
strontium;;;;;;;;;;;;
zinc;67;12,7;;mg;;18;50;male;;;;
fatty acids, total;64;25;40;percent;energy;;;;;;;
fatty acids, total, calculated as TAG equivalents;;;;;;;;;;;;
fatty acids, total polyunsaturated;64;5;10;percent;energy;;;;;;;
fatty acids, total monounsaturated cis;64;10;20;percent;energy;;;;;;;
fatty acids, total saturated;64;;10;percent;energy;;;;;;;
fatty acids, total trans;;;;;;;;;;;;
fatty acid unidentified;;;;;;;;;;;;
fatty acids, total n-3 polyunsaturated;;;;;;;;;;;;
fatty acids, total polyunsaturated n-3 fish;;;;;;;;;;;;
fatty acids, total polyunsaturated n-3 vegetable;;;;;;;;;;;;
fatty acids, total n-6 polyunsaturated;;;;;;;;;;;;
fatty acids 4:0-11:0;;;;;;;;;;;;
fatty acids 12:0-17:0;;;;;;;;;;;;
fatty acid isomers 18:0;;;;;;;;;;;;
fatty acids 19:0-26:0;;;;;;;;;;;;
