id,authors,name,publicationDate,countryCode,publicationUrl
1,S. Clune et. al.,Systematic review of greenhouse gas emissions for different fresh food categories,2017,,https://core.ac.uk/download/pdf/76958641.pdf
2,Jyri Seppälä et. al.,Assessment of the environmental impacts of material flows caused by the Finnish economy with the ENVIMAT model,2009,FI,https://helda.helsinki.fi/bitstream/handle/10138/38010/SY20_2009_Suomen_kansantalouden_materiaalivirtojen.pdf?sequence=1&isAllowed=y
3,,,,US,https://www.eia.gov/tools/faqs/faq.php?id=307&t=11
4,"Katajajuuri 2009, Angervall et. al. 2007, Carlsson-Kanyama 1998",,,FI,
5,Virtanen et al.,Life cycle analysis of Finnish Medium Strength Beer,2006,FI,
6,H. Pulkkinen et. al.,"Climate impacts of Finnish cattle farming, 18.1.2018",2018,FI,
7,Louise Bruun Werner et. al.,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,2014,DK,https://www.tandfonline.com/doi/full/10.3402/fnr.v58.20687
8,,VTT Lipasto,,FI,
9,Nissinen et. al.,,2007,FI,
10,,MENUTOOL,,SV,
11,,Environmental impacts of chocolate production and consumption in the UK,,UK,https://www.sciencedirect.com/science/article/abs/pii/S0963996918301273
12,,Transportation can cancel out the ecological advantages of producing organic cacao: The carbon footprint of the globalized agrifood system of ecuadorian chocolate,,,https://www.sciencedirect.com/science/article/pii/S0301479720312305
14,,Carbon Footprint Across the Coffee Supply Chain: The Case of Costa Rican Coffee,,,
15,Alissa Kendall et. al.,Carbon Footprint of U.S. Honey Production and Packing,,,https://asi.ucdavis.edu/sites/g/files/dgvnsk5751/files/inline-files/carbonfootprintofhoneyproduction-report.pdf
16,,Learn the facts: Fuel consumption and CO2,2014,CA,https://www.nrcan.gc.ca/sites/www.nrcan.gc.ca/files/oee/pdf/transportation/fuel-efficient-technologies/autosmart_factsheet_6_e.pdf
17,,,,,http://ecoscore.be/en/info/ecoscore/co2
18,,,,UK,https://comcar.co.uk/emissions/co2litre/
19,,VTT Lipasto,2016,FI,http://lipasto.vtt.fi/yksikkopaastot/henkiloliikenne/vesiliikenne/autolautta.htm
20,"Silvenius, Grönroos",,2001,FI,
21,,Lentolaskuri,,FI,
22,,Environmental impacts of ice cream,,,https://www.sciencedirect.com/science/article/pii/S0959652618332633
23,,,,,https://www.apple.com/environment/pdf/products/iphone/iPhone_12_PER_Oct2020.pdf
24,,,,,https://twosidesna.org/US/our-carbon-footprint-how-do-paper-products-fit-in/
25,,,,,https://www.apple.com/environment/pdf/products/notebooks/13-inch_MacBookPro_PER_Nov2020.pdf
26,"Grönroos, Seppälä",,2000,FI,
27,K. Hamerschlag et. al.,The meateaters guide to climate change and health,2011,,http://static.ewg.org/reports/2011/meateaters/pdf/methodology_ewg_meat_eaters_guide_to_health_and_climate_2011.pdf
28,Merja Saarinen et al.,"Nutrition and soil quality impacts in life cycle assessment of food, Final report of SustFoodChoice project, MTT Report 146. Jokioinen 2014.",2014,,
29,,CarbonCloud,,,
30,,Estimating the carbon footprint of Florida orange juice,,,http://centmapress.ilb.uni-bonn.de/ojs/index.php/proceedings/article/view/1007
31,,,,,https://www.researchgate.net/post/Are_there_studies_about_impacts_of_coconut_plantations_due_to_the_recent_high_demand_of_coconut_products
33,Tuomas Mattila et al.,"Mitigating of the climate effects of shopping bags (in Finnish), The Finnish Environment 2/2009. Helsinki 2009.",2009,FI,https://helda.helsinki.fi/bitstream/handle/10138/38000/sy2_2009_ostoskassien.pdf?sequence=1
34,,"Tesco, Product Carbon footprint Summary",,,
35,,TemaNord 2011:509,,,
36,,Virvoitusjuoman EDP,,,https://www.environdec.com/home
37,,"The energy and environmental footprints of COVID-19 fighting measures – PPE, disinfection, supply chains",,,https://www.sciencedirect.com/science/article/abs/pii/S0360544220318090
38,Allen H. Hu et. al.,Environmental Impact and Carbon Footprint Assessment of Taiwanese Agricultural Products: A Case Study on Taiwanese Dongshan Tea,,,https://www.mdpi.com/1996-1073/12/1/138/htm
39,,HKL,,FI,
40,,VR,,FI,
41,,"MTT, Carbon footprint of calculation of Finnish greenhouse products?, Final report, Report 83, 2013.",2013,FI,
42,,Sestra: The Carbon Footprint of a Bottle of Wine,,,
43,,Tampereen sähkölaitos,2020,FI,https://www.sahkolaitos.fi/asiakaspalvelu/sahkon-ja-lammon-alkuperatiedot/
44,L. Badey et. al.,French environmental communication on sunflower and rapeseed oils based on life cycle assessment,2013,FR,https://www.ocl-journal.org/index.php?option=com_article&url=/articles/ocl/full_html/2013/04/ocl20-4-A1/ocl20-4-A1.html
45,P. Bartocci et. al.,Environmental impact of Sagrantino and Grechetto grapes cultivation for wine and vinegar production in central Italy,2017,IT,https://www.sciencedirect.com/science/article/abs/pii/S0959652616303663
46,A. Wallén et. al.,Does the Swedish consumer's choice of food influence greenhouse gas emissions?,2004,SV,https://www.sciencedirect.com/science/article/abs/pii/S1462901104000991
47,R. Ciati et. al.,Double pyramid: Healthy food for people and sustainable for the planet,2012,IT,https://www.academia.edu/download/30698462/i3022e.pdf#page=281
48,M. Theurl et. al.,Contrasted greenhouse gas emissions from local versus long-range tomato production,2013,IT,https://link.springer.com/content/pdf/10.1007/s13593-013-0171-8.pdf
49,S. Saget et. al.,Does Circular Reuse of Chickpea Cooking Water to Produce Vegan Mayonnaise Reduce Environmental Impact Compared with Egg Mayonnaise?,2021,IE,https://www.mdpi.com/2071-1050/13/9/4726
50,,Hesburger,2021,FI,https://www.hesburger.fi/vastuullisuus/hiilijalanjalki-hyvitetty/hiilijalanjalki-hyvitetty--tuotteet
51,A. Byggmästar,Carbon footprint calculation in the restaurant sector,2019,FI,https://osuva.uwasa.fi/bitstream/handle/10024/8205/Master%27s%20thesis%20Andreas%20Byggm%c3%a4star.pdf?sequence=2&isAllowed=y
52,,Helen,2020,FI,https://www.helen.fi/en/company/responsibility/responsibility-report/environmental-responsibility/climate-impacts
53,,SFS-EN 16258,2014,FI,https://sales.sfs.fi/en/index/tuotteet/SFS/CEN/ID2/1/248182.html.stx
54,,Neste MY Uusiutuva Diesel™ | Neste,2021,FI,https://www.neste.fi/artikkeli/neste-my-uusiutuva-dieseltm-sinun-panoksesi-ilmastotalkoisiin
55,S. Botto,Tap water vs. bottled water in a footprint integrated approach,2009,IT,https://www.nature.com/articles/npre.2009.3407.1.pdf?origin=ppub
